Decimal,Hex,Mode,Alpha Tag,Description,Tag,Category
2307,903,T,Alg PD Admin,Police Administration,Law Tac,Algona-Pacific
2303,8ff,T,Alg PD Tac 1,Police Tactical 1,Law Tac,Algona-Pacific
2305,901,T,Alg PD Tac 2,Police Tactical 2,Law Tac,Algona-Pacific
2313,909,T,Abur PD Admin,Police Administration,Law Tac,Auburn
2309,905,T,Aubur PD Pri,Police Primary,Law Dispatch,Auburn
2311,907,T,Aubur PD Tac,Police Tactical,Law Tac,Auburn
1329,531,T,BPD Train,Police - Training,Law Talk,Bellevue
1307,51b,T,Bell CityW1,Citywide 1,Interop,Bellevue
1287,507,T,Bell ECS,Electronics Communications Service,Public Works,Bellevue
1281,501,T,Bell PW Code,Works - CODE,Public Works,Bellevue
1285,505,T,Bell PW Srvy,Works - Survey Crews,Public Works,Bellevue
1111,457,T,Bell SchComn,School - Common,Schools,Bellevue
1275,4fb,T,Bell St Dsp,Streets - Dispatch,Public Works,Bellevue
1273,4f9,T,Bell Streets,Streets,Public Works,Bellevue
1289,509,T,Bell Trans,Transportation,Transportation,Bellevue
1277,4fd,T,Bell Wtr Dsp,Water - Dispatch,Public Works,Bellevue
1263,4ef,T,Bot PD Disp,Police Dispatch,Law Dispatch,Bothell
1261,4ed,T,Bot Pd Tac,Police Tactical,Law Tac,Bothell
1113,459,T,BotPd Invest,Police - Investigations,Law Talk,Bothell
1115,45b,T,BotPd Rec,Police - Records,Law Talk,Bothell
3857,f11,T,PS BlodCntrs,Puget Sound Blood Centers,Business,Businesses
2319,90f,T,Des PD Admin,Police Administration,Law Talk,Des Moines
2315,90b,T,Des PD Pri,Police Primary,Law Dispatch,Des Moines
2317,90d,T,Des PD Tac,Police Tactical,Law Tac,Des Moines
2049,801,T,Duv CityWide,Citywide,Interop,Duval
1369,559,T,Eastside NTF 1,Eastside Narcotics Task Force 1,Law Tac,East Side Agencies
1863,747,T,Encaw PD Disp,Police Dispatch,Law Dispatch,Enumclaw
1825,721,T,FWPD 1825,Federal Way Police 1825,Law Tac,Federal Way
1821,71d,T,FWPD Disp,Police Dispatch,Law Dispatch,Federal Way
1823,71f,T,FWPD Tac,Police Tactical,Law Tac,Federal Way
2195,893,T,FWPS Sec Pri,Schools - Security,Security,Federal Way
2197,895,T,HL Schools,"Schools	Schools",Schools,Highline
3855,f0f,T,Hosp Common,Hospital Common,Hospital,Hospital
1243,4db,T,IPD Disp,Police Dispatch,Law Dispatch,Issaquah
1239,4d7,T,IPD Tac 1,Police Tactical 1,Law Tac,Issaquah
1237,4d5,T,IPD Tac 2,Police Tactical 2,Law Tac,Issaquah
1221,4c5,T,Iss CityWide,Citywide,Interop,Issaquah
2325,915,T,Kent PD Admin,Police Administration,Law Tac,Kent
2321,911,T,Kent PD Pri,Police Primary,Law Dispatch,Kent
2323,913,T,Kent PD Tac,Police Tactical,Law Tac,Kent
2741,ab5,T,Kent SD Mat,Kent Schools Maintenance,Schools,Kent
2737,ab1,T,Kent SD Tra1,Kent Schools Transportation 1,Schools,Kent
2739,ab3,T,Kent SD Tra2,Kent Schools Transportation 2,Schools,Kent
2733,aad,T,Kent SchSec,Kent Schools Security,Schools,Kent
1519,5ef,T,AMR Dispatch,AMR Dispatch,EMS Dispatch,King County
1607,647,T,BFI Admin,Boeing Field Airport Adminstration,Public Works,King County
1609,649,T,BFI Fire,Boeing Field Airport Fire & Rescue,Fire Dispatch,King County
2615,a37,T,Cedar Rvr H20,Cedar River Water District,Public Works,King County
1513,5e9,T,Court Escort 1,Court Escorts 1,Security,King County
1515,5eb,T,Court Escort 2,Court Escorts 2,Security,King County
2617,a39,T,Covngt H20,Covington Water District,Public Works,King County
3879,f27,T,DPH COMMO,King County Dept Public Health,Other,King County
